Zaman,X_Koordinati,Y_Koordinati,Hastalik_Adi,Yayilma_Orani_%,Risk_Skoru
1777211795.52,0.500001803113437,3.87493966507109,Mosaic Virus,0.00,0.00
1777211795.58,0.500001803113437,3.87493966507109,Mosaic Virus,0.00,0.00
1777211795.65,0.500001803113437,3.87493966507109,Yellow Leaf Curl Virus,0.00,0.00
1777211795.72,0.500001803113437,3.87493966507109,Yellow Leaf Curl Virus,0.00,0.00
1777211795.79,0.500001803113437,3.87493966507109,Yellow Leaf Curl Virus,0.00,0.00
1777211796.04,0.500001527217302,3.94993966507059,Early Blight,0.00,0.00
1777211796.12,0.500001527217302,3.94993966507059,Early Blight,0.00,0.00
1777211796.19,0.500001527217302,3.94993966507059,Early Blight,0.00,0.00
1777211796.25,0.500001527217302,3.94993966507059,Early Blight,0.00,0.00
1777211796.32,0.500001527217302,3.94993966507059,Early Blight,0.00,0.00
1777211796.46,0.500001293536302,4.02493966507022,Septoria,0.00,0.00
1777211796.46,0.500001293536302,4.02493966507022,Septoria,0.00,0.00
1777211796.51,0.500001293536302,4.02493966507022,Septoria,0.00,0.00
1777211796.51,0.500001293536302,4.02493966507022,Septoria,0.00,0.00
1777211796.58,0.500001293536302,4.02493966507022,Septoria,0.00,0.00
1777211796.86,0.500001095611058,4.09993966506996,Bacterial Spot,0.00,0.00
1777211796.91,0.500001095611058,4.09993966506996,Bacterial Spot,0.00,0.00
1777211797.05,0.500001095611058,4.09993966506996,Leaf Mold,0.00,0.00
1777211797.20,0.500001095611058,4.09993966506996,Leaf Mold,0.00,0.00
1777211797.25,0.500001095611058,4.09993966506996,Bacterial Spot,0.00,0.00
1777211797.33,0.500001095611058,4.09993966506996,Bacterial Spot,0.00,0.00
1777211797.39,0.500000927970548,4.17493966506977,Bacterial Spot,0.00,0.00
1777211797.65,0.500000927970548,4.17493966506977,Septoria,0.00,0.00
1777211797.72,0.500000927970548,4.17493966506977,Septoria,0.00,0.00
1777211797.79,0.500000927970548,4.17493966506977,Septoria,0.00,0.00
1777211797.85,0.500000785980875,4.24993966506964,Bacterial Spot,0.00,0.00
1777211797.92,0.500000785980875,4.24993966506964,Bacterial Spot,0.00,0.00
1777211798.07,0.500000785980875,4.24993966506964,Septoria,0.00,0.00
1777211798.13,0.500000785980875,4.24993966506964,Septoria,0.00,0.00
1777211798.20,0.500000785980875,4.24993966506964,Septoria,0.00,0.00
1777211798.25,0.500000785980875,4.24993966506964,Leaf Mold,0.00,0.00
1777211798.33,0.500000785980875,4.24993966506964,Leaf Mold,0.00,0.00
1777211798.65,0.500000665717179,4.32493966506954,Spider Mites,0.00,0.00
1777211798.74,0.500000665717179,4.32493966506954,Spider Mites,0.00,0.00
1777211798.87,0.500000563855148,4.39993966506947,Yellow Leaf Curl Virus,0.00,0.00
1777211798.93,0.500000563855148,4.39993966506947,Yellow Leaf Curl Virus,0.00,0.00
1777211799.00,0.500000563855148,4.39993966506947,Yellow Leaf Curl Virus,0.00,0.00
1777211799.06,0.500000563855148,4.39993966506947,Leaf Mold,0.00,0.00
1777211799.14,0.500000563855148,4.39993966506947,Leaf Mold,0.00,0.00
1777211799.26,0.500000563855148,4.39993966506947,Spider Mites,0.00,0.00
1777211799.34,0.500000477579125,4.47493966506942,Spider Mites,0.00,0.00
1777211799.41,0.500000477579125,4.47493966506942,Spider Mites,0.00,0.00
1777211799.47,0.500000477579125,4.47493966506942,Septoria,0.00,0.00
1777211799.53,0.500000477579125,4.47493966506942,Septoria,0.00,0.00
1777211799.60,0.500000477579125,4.47493966506942,Septoria,0.00,0.00
1777211799.67,0.500000477579125,4.47493966506942,Yellow Leaf Curl Virus,0.00,0.00
1777211799.72,0.500000477579125,4.47493966506942,Yellow Leaf Curl Virus,0.00,0.00
1777211799.87,0.50000040450428,4.54993966506939,Late Blight,0.00,0.00
1777211799.93,0.50000040450428,4.54993966506939,Late Blight,0.00,0.00
1777211800.27,0.50000040450428,4.54993966506939,Spider Mites,0.00,0.00
1777211800.34,0.500000342610688,4.62493966506936,Spider Mites,0.00,0.00
1777211800.40,0.500000342610688,4.62493966506936,Leaf Mold,0.00,0.00
